chromosome_index	start_position	end_position	major_cn	minor_cn	total_cn
1	61735	55408458	2	2	4
1	55412180	119743279	2	0	2
1	119745664	198406658	2	2	4
1	198409887	217338790	2	0	2
1	217338812	226709011	2	2	4
1	226710870	227125685	4	2	6
1	227125997	228221012	2	2	4
1	228221319	228653417	4	2	6
1	228654111	231954427	2	0	2
1	231955726	233894135	2	2	4
1	233900353	235663874	2	0	2
1	235678750	249224388	2	2	4
2	12784	243089456	2	2	4
3	60345	197896118	2	2	4
4	12281	16025853	2	0	2
4	16032305	16756640	2	2	4
4	16756816	42891926	2	0	2
4	42895638	45978761	2	2	4
4	45979154	64854275	2	0	2
4	64862744	65478407	2	2	4
4	65478780	65712548	1	0	1
4	65715676	158407742	2	2	4
4	158414039	158782850	2	0	2
4	158783322	191027923	2	2	4
5	15532	180790320	2	1	3
6	149661	171051005	2	1	3
7	43259	62162127	3	3	6
7	62162274	159127004	3	1	4
8	31254	811698	2	0	2
8	813394	31577124	1	0	1
8	31578885	32014212	2	1	3
8	32014847	32234113	7	1	8
8	32237130	33771994	2	1	3
8	33779748	34023429	6	1	7
8	34024696	34926132	1	0	1
8	34928982	38897052	2	0	2
8	38901530	47556513	7	2	9
8	47557047	47763102	4	0	4
8	47763842	73011230	2	0	2
8	73019939	118833743	7	0	7
8	118839512	119053797	2	0	2
8	119054986	146298155	7	0	7
9	46587	491571	2	2	4
9	492461	776071	2	0	2
9	776349	1373161	2	2	4
9	1373387	1740718	2	0	2
9	1742582	2133189	4	2	6
9	2133640	2539410	2	0	2
9	2539495	2829785	3	2	5
9	2838911	3567237	2	0	2
9	3567804	3844391	4	2	6
9	3844565	3893369	4	0	4
9	3893436	7970810	2	0	2
9	7971552	18263296	5	2	7
9	18266633	21900124	7	2	9
9	21902176	38542352	2	2	4
9	38549023	47217176	3	1	4
9	65616971	141091394	2	2	4
10	72759	46954538	2	2	4
10	46954557	48330781	2	1	3
10	48331840	135506704	2	0	2
11	198572	50769317	5	2	7
11	51096372	134944770	2	0	2
12	150442	133778189	3	0	3
13	19026949	27890338	4	1	5
13	27890560	115108397	5	2	7
14	19002124	107285437	2	0	2
15	20016328	33549861	2	2	4
15	33553753	86660652	2	0	2
15	86660720	102469040	2	2	4
16	60777	35283226	3	2	5
16	46463782	90287535	1	1	2
17	526	81049726	2	1	3
18	48133	78015057	2	0	2
19	90910	59097854	2	2	4
20	61305	26239367	4	1	5
20	26239964	62956153	4	4	8
21	10736871	48096957	2	1	3
22	16052528	51234455	2	0	2
