chromosome_index	start_position	end_position	major_cn	minor_cn	total_cn
1	61735	249224388	2	1	3
2	12784	243089456	1	1	2
3	60345	197896118	1	1	2
4	12281	191027923	1	1	2
5	15532	180790320	2	0	2
6	149661	171051005	2	1	3
7	43259	159127004	2	2	4
8	31254	39807649	2	0	2
8	39809352	146298155	2	1	3
9	46587	47217176	1	1	2
9	65616971	141091394	3	0	3
10	72759	43136945	2	1	3
10	43137657	135506704	1	1	2
11	198572	134944770	1	1	2
12	150442	40024078	5	2	7
12	40024249	41994382	3	2	5
12	41994572	133778189	2	1	3
13	19026949	115108397	1	1	2
14	19002124	107285437	2	1	3
15	20016328	102469040	1	1	2
16	60777	90287535	1	1	2
17	526	41524791	1	1	2
17	41524963	81049726	3	1	4
18	48133	78015057	1	1	2
19	90910	30751707	2	1	3
19	30755964	59097854	1	1	2
20	61305	62956153	2	1	3
21	10736871	48096957	2	2	4
22	16052528	51234455	1	1	2
